Column1,Column2,Column3
充电慢快递员也不好说话,1,充电 慢 快递 员 不好 说话 
垃圾的不在垃圾别买,1,垃圾 垃圾 别买 
购买是显示有手机支架耳机钢化膜送结果一样都没有严重失信差评,1,购买 显示 手机 支架 耳机 钢化 膜 送 都 没有 失信 差评 
比我们当地实体店还贵太烫人了都是买了第二天才知道早知道去实体店购买京东的东西太贵了,1,实体店 还贵 太 烫 都 买 第二天 知道 早 知道 实体店 购买 京东 东西 太贵 
买完第二天就降价还宣称跟双十一一个价虚假宣传做的真可以申请价保居然因为同一个订单里买了其它东西给驳回说不符合价保规则京东真是奇葩到家了打客服电话客服也迷迷糊糊什么都不清楚我也是醉了,1,买 完 第二天 降价 还 宣称 双十 价 虚假 宣传 做 真 申请 价保 同一个 订单 里 买 东西 驳回 说 符合 价保 规则 京东 真是 奇葩 到家 客服 电话 客服 迷迷糊糊 都 清楚 醉 
外观有损伤就算了买完就开始送耳机真的很让人生气退换太麻烦这是在京东这么多年第一个差评,1,外观 损伤 买 完 送 耳机 真的 生气 退换 太 麻烦 京东 多年 第一个 差评 
不流畅很卡果真一分钱一分货,1,流畅 很卡 一分钱 一分货 
什么垃圾还没收到货就显示已收货,1,垃圾 还 没收 到货 显示 收货 
不好用我又买了个真我手机希望别失望,1,不好 买 真 手机 希望 失望 
差评差评差评打开包装没有充电器线,1,差评 差评 差评 打开 包装 没有 充电器 线 
明天是我妈生日本打算送她一个华为手机没想到收到的新手机屏幕竟然有划痕对京东和华为表示失望,1,明天 妈生 日本 打算 送 华为 手机 没想到 收到 新手机 屏幕 竟然 划痕 京东 华为 表示 失望 
网络信号非常差看视频超级卡,1,网络 信号 非常 差看 视频 超级 卡 
差评买回来包装服了而且还没有耳机大家不要相信不要买了快递哥态度特别差一个服务态度都没有气死了,1,差评 买回来 包装 服 还 没有 耳机 相信 买 快递 哥 态度 特别 差 服务态度 都 没有 气死 
买了就降价京东就是个骗局客服态度极其差,1,买 降价 京东 骗局 客服 态度 极其 差 
像素太垃圾了黑乎乎的,1,像素 太 垃圾 黑乎乎 
变相强制升级用户体验极差,1,变相 强制 升级 用户 体验 极差 
特别差京东上不如实体店京东上买的太差了,1,特别 差 京东 实体店 京东 买 太差 
这手机垃圾中的战斗机不亏是千元机,1,手机 垃圾 中 战斗机 不亏 千元 机 
太卡了卡的要命还说没毛病,1,太卡 卡 要命 还 说 没 毛病 
手机差服务差售后更差垃圾,1,手机 差 服务 差 售后 更差 垃圾 
充电器冲电时松一碰就掉了差评,1,充电器 冲电时 松 碰 掉 差评 
拍照效果极差这是买过最差的手机,1,拍照 效果 极差 买 最差 手机 
手机质量有问题退货还退不了垃圾,1,手机 质量 问题 退货 还 退 垃圾 
太厚了而且款式不好看,1,太厚 款式 好看 
耳机都没有差评,1,耳机 都 没有 差评 
质量很差服务态度不行,1,质量 很差 服务态度 不行 
发货速度太慢不知道怎么查询真假了,1,发货 速度 太慢 知道 查询 真假 
不好意思手机是可以挺好用的但是后台客服服务态度太差劲了直接差评,1,不好意思 手机 挺好用 后台 客服 服务态度 太 差劲 直接 差评 
不怎么样手机速度太卡,1,不怎么样 手机 速度 太卡 
槽腻獁邵子筆的又取消労龇返利京东真是豿労龇大不了就退货艸你们族踪十八代的,1,槽 腻 獁 邵子筆 取消 労 龇 返利 京东 真是 豿 労 龇 退货 艸 族踪 十八代 
差劲我刚刚买它就降价还不能申请价格保护,1,差劲 刚刚 买 降价 还 申请 价格 保护 
这手机也太辣鸡了各种卡,1,手机 太辣鸡 卡 
什么都好就是骗我说有人脸识别就必须给个差评,1,都 骗 说 人脸识别 差评 
感觉被人用过手机里面这么多第三方软件无语了哎懒得退给父母买的,1,感觉 人用 手机 里面 第三方 软件 无语 懒得 退 父母 买 
这个手机最让人讨厌的就是拍照太不清晰效果真是醉了你想拍个真实的自己太难了问题是把人还特丑,1,手机 最让人 讨厌 拍照 太 清晰 效果 真是 醉 想 拍个 真实 太难 问题 还 特丑 
手机不错我是号买的提前发货页面上说的到号能补号的到手价现在说补不了欺骗消费者,1,手机 不错 号 买 提前 发货 页面 说 号 补号 到手 价 现在 说 补 欺骗 消费者 
对京东的服务越来越不满意除了物流快点也没其他好处了两天前买的啥也不送后面送耳机了问客户可以补不给我说价格波动左右的手机两天你波动个的东西服气最主要叫我重新买我没那精力买买退退想想耳机用的也少就是这服务感觉太不好了,1,京东 服务 越来越 满意 物流 快点 没 好处 两天 前 买 送 送 耳机 问 客户 补不给 说 价格 波动 手机 两天 波动 东西 服气 最 重新 买 没 精力 买买 退退 想想 耳机 少 服务 感觉 太 不好 
今年新款就是不支持下载速度慢运行内存和没啥区别软件打开很慢颜值还行有点厚不推荐,1,新款 支持 下载速度 慢 运行 内存 没 区别 软件 打开 很慢 颜值 还行 有点 厚 推荐 
拍照效果买来就是工作的时候拍照用的照出来的照片很多时候是虚的点击对焦取景框后不虚了可是会提升亮度但是拍出来的相片又太亮了亮的很假拍照不行这个手机算是彻底闲置了,1,拍照 效果 买来 工作 拍照 照出来 照片 虚 点击 对焦 取景框 虚 提升 亮度 拍 相片 太亮 亮 假 拍照 不行 手机 算是 闲置 
外形外观手机溢胶像素模糊前摄和手机屏偏移有磕伤浮高据我工作经验此手机属于不良应拆机,1,外形 外观 手机 溢胶 像素 模糊 前摄 手机 屏 偏移 磕伤 浮高据 工作 经验 手机 不良 应 拆机 
不好用手机用着用着突然没声音了要不就是网络不能用都要重启一下才正常没有返回键用着也不方便,1,不好 手机 突然 没 声音 网络 都 重启 正常 没有 返回 键用 方便 
买来打游戏的刚拿到手就感觉有点卡打王者上面设置根本按不出来吐了相机拍出来的感觉模糊煞白脸一样音质也差的不行带耳机感觉还好,1,买来 打游戏 拿到 手 感觉 有点 卡打 王者 设置 根本 吐 相机 拍 感觉 模糊 煞白 脸 音质 差 不行 耳机 感觉 还好 
第一次买华为手机居然不配耳机的我是看了包装盒送的清单只是当时没想到耳机这回事既然华为这么不走寻常路为什么不直接在首页说明让消费者直接看明白凭啥耳机要单独购买打着国家品牌玩着文字游戏垃圾玩意,1,第一次 买 华为 手机 不配 耳机 看 包装盒 送 清单 没想到 耳机 回事 华为 走 寻常路 直接 首页 说明 消费者 直接 看 明白 耳机 单独 购买 打着 国家 品牌 玩 文字游戏 垃圾 玩意 
一星评价给京东的后悔买了这款手机原来用荣耀一直挺好的速度也不慢性价比高现在完全不一样了从旧的华为换了这个很卡经常无故连不上网定位不准投屏要试个十次八次才能连上这个价位别的品牌能买到比这快的多的宁可放弃点内存容量也不要选这款了真的后悔至极以后还是老老实实买华为吧,1,一星 评价 京东 后悔 买 这款 手机 荣耀 挺 速度 慢性 价比高 现在 旧 华为 换 很卡 经常 无故 上网 定位 不准 投屏 试个 十次 八次 才能 价位 品牌 买 放弃 点 内存容量 选 这款 真的 后悔 至极 老老实实 买 华为 
